SignId,Id,X,Y,Z,Retro,Angle,Distance,UTC,R,G,B,H,S,V,pX,pY,Unnamed: 17,COLOR
1,37734,33.787,-84.406,244.525,0.75,-0.189,8.304,66090.416,252,253,255,220,0.012,1,0.712,0.849,,WHITE
1,37735,33.787,-84.406,244.44,0.75,-0.199,8.314,66090.416,252,253,255,220,0.012,1,0.712,0.941,,WHITE
1,37791,33.787,-84.406,245.213,0.75,-0.106,8.194,66090.429,249,252,253,196,0.016,0.992,0.741,0.1,,WHITE
1,37792,33.787,-84.406,245.127,0.76,-0.117,8.209,66090.429,249,252,253,196,0.016,0.992,0.742,0.194,,WHITE
1,37793,33.787,-84.406,245.047,0.75,-0.127,8.188,66090.43,250,253,254,196,0.016,0.996,0.726,0.281,,WHITE
1,37794,33.787,-84.406,244.964,0.75,-0.137,8.184,66090.43,251,254,255,196,0.016,1,0.713,0.371,,WHITE
1,37795,33.787,-84.406,244.88,0.75,-0.148,8.193,66090.43,251,254,255,196,0.016,1,0.713,0.462,,WHITE
1,37796,33.787,-84.406,244.801,0.75,-0.158,8.174,66090.43,252,253,255,220,0.012,1,0.7,0.548,,WHITE
1,37797,33.787,-84.406,244.716,0.74,-0.168,8.186,66090.43,252,253,255,220,0.012,1,0.688,0.641,,WHITE
1,37798,33.787,-84.406,244.634,0.75,-0.178,8.183,66090.43,252,253,255,220,0.012,1,0.676,0.73,,WHITE
1,37799,33.787,-84.406,244.553,0.75,-0.189,8.178,66090.43,252,253,255,220,0.012,1,0.665,0.818,,WHITE
1,37800,33.787,-84.406,244.468,0.75,-0.199,8.193,66090.43,252,253,255,220,0.012,1,0.665,0.911,,WHITE
1,37801,33.787,-84.406,244.387,0.57,-0.209,8.186,66090.43,237,246,251,202,0.055,0.984,0.655,0.999,,WHITE
1,37857,33.787,-84.406,245.226,0.75,-0.107,8.083,66090.443,249,252,253,196,0.016,0.992,0.707,0.086,,WHITE
1,37858,33.787,-84.406,245.146,0.74,-0.117,8.07,66090.443,250,253,254,196,0.016,0.996,0.691,0.173,,WHITE
1,37859,33.787,-84.406,245.064,0.76,-0.127,8.069,66090.443,249,252,253,196,0.016,0.992,0.678,0.262,,WHITE
1,37860,33.787,-84.406,244.983,0.75,-0.137,8.067,66090.443,250,253,254,196,0.016,0.996,0.666,0.35,,WHITE
1,37861,33.787,-84.406,244.898,0.75,-0.148,8.087,66090.443,251,254,255,196,0.016,1,0.666,0.443,,WHITE
1,37862,33.787,-84.406,244.819,0.75,-0.158,8.073,66090.443,251,254,255,196,0.016,1,0.653,0.529,,WHITE
1,37863,33.787,-84.406,244.738,0.75,-0.168,8.068,66090.443,251,254,255,196,0.016,1,0.64,0.617,,WHITE
1,37864,33.787,-84.406,244.656,0.75,-0.178,8.072,66090.443,252,253,255,220,0.012,1,0.64,0.706,,WHITE
1,37865,33.787,-84.406,244.572,0.76,-0.189,8.084,66090.443,252,253,255,220,0.012,1,0.64,0.798,,WHITE
1,37866,33.787,-84.406,244.495,0.74,-0.199,8.065,66090.443,252,253,255,220,0.012,1,0.619,0.881,,WHITE
1,37867,33.787,-84.406,244.41,0.75,-0.209,8.087,66090.443,252,253,255,220,0.012,1,0.618,0.974,,WHITE
1,37921,33.787,-84.406,245.244,0.75,-0.107,7.942,66090.456,249,252,253,196,0.016,0.992,0.644,0.066,,WHITE
1,37922,33.787,-84.406,245.16,0.75,-0.117,7.966,66090.456,250,253,254,196,0.016,0.996,0.645,0.158,,WHITE
1,37923,33.787,-84.406,245.079,0.75,-0.127,7.966,66090.456,247,251,255,210,0.031,1,0.644,0.246,,WHITE
1,37924,33.787,-84.406,245.001,0.75,-0.137,7.952,66090.456,251,254,255,196,0.016,1,0.63,0.331,,WHITE
1,37925,33.787,-84.406,244.92,0.75,-0.148,7.952,66090.456,252,253,255,220,0.012,1,0.618,0.419,,WHITE
1,37926,33.787,-84.406,244.839,0.74,-0.158,7.958,66090.456,252,253,255,220,0.012,1,0.617,0.507,,WHITE
1,37927,33.787,-84.406,244.758,0.74,-0.168,7.958,66090.456,252,253,255,220,0.012,1,0.605,0.595,,WHITE
1,37928,33.787,-84.406,244.679,0.75,-0.178,7.952,66090.456,252,253,255,220,0.012,1,0.593,0.681,,WHITE
1,37929,33.787,-84.406,244.598,0.75,-0.189,7.96,66090.456,252,253,255,220,0.012,1,0.593,0.769,,WHITE
1,37930,33.787,-84.406,244.521,0.75,-0.199,7.947,66090.456,252,253,255,220,0.012,1,0.571,0.853,,WHITE
