Angle,B,COLOR,Distance,G,H,Id,R,Retro,S,SignId,UTC,Unnamed: 17,V,X,Y,Z,flag,pX,pY,x_cart,y_cart,z_cart
-0.158,162,WHITE,8.935,151,344,45038,190,0.59,0.204,4,66091.961,,0.745,33.787,-84.406,244.919,0.0,1.0,0.58,-5074386.048270678,549817.635908816,10134901.421612162
-0.13699999999999998,136,RED,8.77,144,8,45099,192,0.71,0.29,4,66091.974,,0.753,33.787,-84.406,245.128,0.0,0.903,0.217,-5074386.215792983,549817.6538648261,10134901.545284549
-0.14800000000000002,203,WHITE,8.773,194,294,45100,202,0.67,0.043,4,66091.974,,0.7959999999999999,33.787,-84.406,245.03799999999998,0.0,0.902,0.373,-5074386.143654194,549817.646132573,10134901.492028499
-0.158,129,WHITE,8.789,127,358,45101,194,0.71,0.345,4,66091.974,,0.7609999999999999,33.787,-84.406,244.947,0.0,0.902,0.531,-5074386.070713859,549817.6383144059,10134901.438180713
-0.168,130,RED,8.791,130,0,45102,194,0.69,0.32899999999999996,4,66091.974,,0.7609999999999999,33.787,-84.406,244.857,0.0,0.882,0.688,-5074385.998575065,549817.6305821527,10134901.38492466
-0.13699999999999998,147,RED,8.618,148,2,45162,187,0.72,0.21600000000000003,4,66091.988,,0.733,33.787,-84.406,245.155,0.0,0.805,0.17,-5074386.237434621,549817.6561845021,10134901.561261365
-0.14800000000000002,166,WHITE,8.652999999999999,160,348,45163,190,0.61,0.157,4,66091.988,,0.745,33.787,-84.406,245.062,0.0,0.8270000000000001,0.332,-5074386.162891203,549817.6481945071,10134901.506230112
-0.158,198,WHITE,8.639,187,334,45164,213,0.71,0.122,4,66091.988,,0.835,33.787,-84.406,244.977,0.0,0.804,0.479,-5074386.094760124,549817.6408918237,10134901.455932729
-0.168,206,WHITE,8.644,194,316,45165,210,0.71,0.075,4,66091.988,,0.8240000000000001,33.787,-84.406,244.888,0.0,0.784,0.634,-5074386.0234228745,549817.6332454844,10134901.403268412
-0.17800000000000002,122,RED,8.657,123,0,45166,191,0.72,0.361,4,66091.988,,0.7490000000000001,33.787,-84.406,244.799,0.0,0.784,0.7879999999999999,-5074385.952085625,549817.6255991452,10134901.350604095
