Angle,B,COLOR,Distance,G,H,Id,R,Retro,S,SignId,UTC,Unnamed: 17,V,X,Y,Z,flag,pX,pY,x_cart,y_cart,z_cart
-0.18899999999999997,196,RED,7.749,203,18,45548,219,0.56,0.106,4,66092.068,,0.8590000000000001,33.787,-84.406,244.912,0.0,0.196,0.5920000000000001,-5074386.042659884,549817.6353074185,10134901.417470027
-0.19899999999999998,144,RED,7.769,149,6,45549,194,0.51,0.259,4,66092.068,,0.7609999999999999,33.787,-84.406,244.83,0.0,0.196,0.7340000000000001,-5074385.976933431,549817.6282624769,10134901.368947847
-0.209,126,RED,7.771,127,0,45550,191,0.68,0.341,4,66092.068,,0.7490000000000001,33.787,-84.406,244.75099999999998,0.0,0.177,0.872,-5074385.913611603,549817.6214752769,10134901.322200866
-0.158,114,RED,7.571000000000001,121,6,45607,183,0.72,0.376,4,66092.08099999999,,0.718,33.787,-84.406,245.178,0.0,0.11900000000000001,0.13,-5074386.25587009,549817.6581605222,10134901.574871246
-0.168,140,RED,7.57,153,16,45608,190,0.67,0.263,4,66092.08099999999,,0.745,33.787,-84.406,245.102,0.0,0.098,0.262,-5074386.19495289,549817.6516310641,10134901.529899469
-0.17800000000000002,184,RED,7.591,200,28,45609,218,0.53,0.157,4,66092.08099999999,,0.855,33.787,-84.406,245.021,0.0,0.098,0.40299999999999997,-5074386.130027976,549817.6446720363,10134901.481969021
-0.18899999999999997,130,RED,7.607,136,6,45610,191,0.55,0.318,4,66092.08099999999,,0.7490000000000001,33.787,-84.406,244.942,0.0,0.099,0.54,-5074386.066706149,549817.6378848363,10134901.435222043
-0.19899999999999998,151,WHITE,7.614,148,356,45611,189,0.56,0.21600000000000003,4,66092.08099999999,,0.741,33.787,-84.406,244.864,0.0,0.078,0.675,-5074386.004185863,549817.6311835502,10134901.3890668
-0.209,133,WHITE,7.624,131,358,45612,204,0.6,0.35700000000000004,4,66092.08099999999,,0.8,33.787,-84.406,244.785,0.0,0.08,0.812,-5074385.940864036,549817.6243963502,10134901.34231982
-0.168,151,WHITE,7.419,148,356,45667,184,0.54,0.196,4,66092.094,,0.722,33.787,-84.406,245.13099999999997,0.0,0.0,0.212,-5074386.21819761,549817.6541225679,10134901.54705975
-0.17800000000000002,128,WHITE,7.43,125,356,45668,182,0.51,0.314,4,66092.094,,0.7140000000000001,33.787,-84.406,245.054,0.0,0.0,0.345,-5074386.156478866,549817.6475071956,10134901.50149624
-0.18899999999999997,145,RED,7.44,149,6,45669,187,0.53,0.22399999999999998,4,66092.094,,0.733,33.787,-84.406,244.977,0.0,0.016,0.479,-5074386.094760124,549817.6408918237,10134901.455932729
