SignId,Id,X,Y,Z,Retro,Angle,Distance,UTC,R,G,B,H,S,V,pX,pY,Unnamed: 17,COLOR
2,40597,33.787,-84.406,245.124,0.71,-0.117,9.001,66091.029,219,123,120,2,0.451,0.859,1,0.313,,RED
2,40598,33.787,-84.406,245.033,0.74,-0.127,8.995,66091.029,228,118,105,6,0.541,0.894,0.987,0.41,,RED
2,40599,33.787,-84.406,244.942,0.74,-0.137,8.99,66091.029,219,116,106,6,0.518,0.859,0.973,0.507,,RED
2,40600,33.787,-84.406,244.85,0.75,-0.148,8.998,66091.029,224,118,106,6,0.525,0.878,0.96,0.606,,RED
2,40601,33.787,-84.406,244.759,0.75,-0.158,8.997,66091.029,221,120,111,4,0.498,0.867,0.947,0.703,,RED
2,40655,33.787,-84.406,245.141,0.74,-0.117,8.86,66091.042,219,115,102,6,0.533,0.859,0.938,0.295,,RED
2,40656,33.787,-84.406,245.054,0.74,-0.127,8.841,66091.042,222,116,102,8,0.541,0.871,0.923,0.388,,RED
2,40657,33.787,-84.406,244.958,0.75,-0.137,8.876,66091.042,222,118,103,8,0.537,0.871,0.926,0.49,,RED
2,40658,33.787,-84.406,244.871,0.75,-0.148,8.857,66091.042,223,117,103,8,0.537,0.875,0.911,0.583,,RED
2,40659,33.787,-84.406,244.782,0.75,-0.158,8.858,66091.042,223,117,105,6,0.529,0.875,0.898,0.678,,RED
2,40660,33.787,-84.406,244.691,0.74,-0.168,8.865,66091.042,222,120,103,8,0.537,0.871,0.885,0.776,,RED
2,40718,33.787,-84.406,245.159,0.74,-0.117,8.725,66091.055,221,115,103,6,0.533,0.867,0.877,0.276,,RED
2,40719,33.787,-84.406,245.07,0.74,-0.127,8.725,66091.055,221,112,100,6,0.549,0.867,0.876,0.371,,RED
2,40720,33.787,-84.406,244.981,0.75,-0.137,8.727,66091.055,224,115,102,6,0.545,0.878,0.863,0.466,,RED
2,40721,33.787,-84.406,244.894,0.75,-0.148,8.718,66091.055,222,116,102,8,0.541,0.871,0.849,0.559,,RED
2,40722,33.787,-84.406,244.803,0.75,-0.158,8.737,66091.055,222,116,104,6,0.533,0.871,0.849,0.656,,RED
2,40723,33.787,-84.406,244.714,0.74,-0.168,8.739,66091.055,224,115,102,6,0.545,0.878,0.836,0.751,,RED
2,40724,33.787,-84.406,244.626,0.73,-0.178,8.736,66091.055,223,122,111,6,0.502,0.875,0.824,0.845,,RED
2,40776,33.787,-84.406,245.262,0.75,-0.106,8.621,66091.068,218,116,107,4,0.51,0.855,0.857,0.166,,RED
2,40777,33.787,-84.406,245.177,0.74,-0.117,8.605,66091.068,220,113,106,4,0.518,0.863,0.829,0.256,,RED
2,40778,33.787,-84.406,245.09,0.75,-0.127,8.597,66091.069,221,112,99,6,0.553,0.867,0.815,0.349,,RED
2,40779,33.787,-84.406,245.002,0.74,-0.137,8.604,66091.069,222,113,100,6,0.549,0.871,0.815,0.443,,RED
2,40780,33.787,-84.406,244.914,0.75,-0.148,8.608,66091.069,223,114,101,6,0.549,0.875,0.801,0.537,,RED
2,40781,33.787,-84.406,244.828,0.75,-0.158,8.603,66091.069,224,117,103,6,0.541,0.878,0.8,0.629,,RED
2,40782,33.787,-84.406,244.74,0.75,-0.168,8.607,66091.069,224,115,102,6,0.545,0.878,0.787,0.723,,RED
2,40783,33.787,-84.406,244.653,0.73,-0.178,8.607,66091.069,220,122,114,4,0.482,0.863,0.775,0.816,,RED
2,40784,33.787,-84.406,244.566,0.72,-0.189,8.608,66091.069,221,118,110,4,0.502,0.867,0.762,0.909,,RED
2,40837,33.787,-84.406,245.281,0.75,-0.107,8.468,66091.082,219,114,104,6,0.525,0.859,0.781,0.145,,RED
2,40838,33.787,-84.406,245.195,0.74,-0.117,8.47,66091.082,223,114,103,6,0.537,0.875,0.78,0.237,,RED
2,40839,33.787,-84.406,245.107,0.75,-0.127,8.482,66091.082,219,110,97,6,0.557,0.859,0.78,0.331,,RED
2,40840,33.787,-84.406,245.023,0.75,-0.137,8.467,66091.082,222,113,100,6,0.549,0.871,0.766,0.421,,RED
2,40841,33.787,-84.406,244.935,0.74,-0.148,8.479,66091.082,221,112,99,6,0.553,0.867,0.752,0.515,,RED
2,40842,33.787,-84.406,244.853,0.74,-0.158,8.46,66091.082,225,116,101,8,0.553,0.882,0.738,0.603,,RED
2,40843,33.787,-84.406,244.767,0.75,-0.168,8.462,66091.082,225,116,103,6,0.541,0.882,0.726,0.694,,RED
2,40844,33.787,-84.406,244.679,0.74,-0.178,8.475,66091.082,224,115,102,6,0.545,0.878,0.726,0.788,,RED
2,40845,33.787,-84.406,244.594,0.76,-0.189,8.474,66091.082,222,116,102,8,0.541,0.871,0.713,0.879,,RED
2,40846,33.787,-84.406,244.506,0.69,-0.199,8.487,66091.082,225,129,119,6,0.471,0.882,0.713,0.973,,RED
2,40900,33.787,-84.406,245.382,0.7,-0.096,8.349,66091.095,223,116,109,4,0.51,0.875,0.748,0.037,,RED
2,40901,33.787,-84.406,245.3,0.75,-0.107,8.327,66091.095,220,114,102,6,0.537,0.863,0.731,0.125,,RED
2,40902,33.787,-84.406,245.215,0.74,-0.117,8.325,66091.095,221,109,101,4,0.541,0.867,0.718,0.216,,RED
2,40903,33.787,-84.406,245.129,0.75,-0.127,8.337,66091.095,220,111,99,6,0.549,0.863,0.718,0.308,,RED
2,40904,33.787,-84.406,245.045,0.74,-0.137,8.334,66091.095,221,112,99,6,0.553,0.867,0.704,0.397,,RED
2,40905,33.787,-84.406,244.96,0.75,-0.148,8.332,66091.095,221,112,99,6,0.553,0.867,0.69,0.488,,RED
2,40906,33.787,-84.406,244.878,0.75,-0.158,8.323,66091.095,223,115,100,8,0.553,0.875,0.677,0.576,,RED
2,40907,33.787,-84.406,244.792,0.75,-0.168,8.333,66091.095,224,115,102,6,0.545,0.878,0.677,0.668,,RED
2,40908,33.787,-84.406,244.707,0.75,-0.178,8.337,66091.095,225,116,103,6,0.541,0.882,0.664,0.759,,RED
2,40909,33.787,-84.406,244.621,0.74,-0.189,8.349,66091.095,224,115,102,6,0.545,0.878,0.664,0.85,,RED
2,40910,33.787,-84.406,244.534,0.74,-0.199,8.364,66091.095,226,117,104,6,0.541,0.886,0.664,0.943,,RED
2,40963,33.787,-84.406,245.4,0.56,-0.096,8.204,66091.108,218,118,112,4,0.486,0.855,0.685,0.018,,RED
2,40964,33.787,-84.406,245.317,0.74,-0.106,8.204,66091.108,219,115,104,6,0.525,0.859,0.684,0.107,,RED
2,40965,33.787,-84.406,245.235,0.75,-0.117,8.193,66091.108,219,112,103,4,0.529,0.859,0.669,0.194,,RED
2,40966,33.787,-84.406,245.149,0.75,-0.127,8.207,66091.108,223,114,101,6,0.549,0.875,0.669,0.286,,RED
2,40967,33.787,-84.406,245.067,0.75,-0.137,8.197,66091.109,222,113,100,6,0.549,0.871,0.654,0.374,,RED
2,40968,33.787,-84.406,244.983,0.74,-0.148,8.205,66091.109,225,113,101,6,0.553,0.882,0.642,0.464,,RED
2,40969,33.787,-84.406,244.901,0.74,-0.158,8.2,66091.109,225,115,102,6,0.545,0.882,0.628,0.551,,RED
2,40970,33.787,-84.406,244.814,0.75,-0.168,8.221,66091.109,224,115,104,6,0.537,0.878,0.629,0.644,,RED
2,40971,33.787,-84.406,244.734,0.75,-0.178,8.208,66091.109,225,116,103,6,0.541,0.882,0.615,0.73,,RED
