SignId,Id,X,Y,Z,Retro,Angle,Distance,UTC,R,G,B,H,S,V,pX,pY,Unnamed: 17,COLOR
4,45550,33.787,-84.406,244.751,0.68,-0.209,7.771,66092.068,191,127,126,0,0.341,0.749,0.177,0.872,,RED
4,45607,33.787,-84.406,245.178,0.72,-0.158,7.571,66092.081,183,121,114,6,0.376,0.718,0.119,0.13,,RED
4,45608,33.787,-84.406,245.102,0.67,-0.168,7.57,66092.081,190,153,140,16,0.263,0.745,0.098,0.262,,RED
4,45609,33.787,-84.406,245.021,0.53,-0.178,7.591,66092.081,218,200,184,28,0.157,0.855,0.098,0.403,,RED
4,45610,33.787,-84.406,244.942,0.55,-0.189,7.607,66092.081,191,136,130,6,0.318,0.749,0.099,0.54,,RED
4,45611,33.787,-84.406,244.864,0.56,-0.199,7.614,66092.081,189,148,151,356,0.216,0.741,0.078,0.675,,WHITE
4,45612,33.787,-84.406,244.785,0.6,-0.209,7.624,66092.081,204,131,133,358,0.357,0.8,0.08,0.812,,WHITE
4,45667,33.787,-84.406,245.131,0.54,-0.168,7.419,66092.094,184,148,151,356,0.196,0.722,0,0.212,,WHITE
4,45668,33.787,-84.406,245.054,0.51,-0.178,7.43,66092.094,182,125,128,356,0.314,0.714,0,0.345,,WHITE
4,45669,33.787,-84.406,244.977,0.53,-0.189,7.44,66092.094,187,149,145,6,0.224,0.733,0.016,0.479,,RED
